Blue_Pick_1,Blue_Pick_2,Blue_Pick_3,Blue_Pick_4,Blue_Pick_5,Red_Pick_1,Red_Pick_2,Red_Pick_3,Red_Pick_4,Red_Pick_5,Blue_Win
Sion,Nidalee,Leblanc,Yunara,Braum,Gnar,Diana,Orianna,Tristana,Nami,1
Ambessa,JarvanIV,Aurora,Kaisa,Neeko,Camille,Shaco,Quinn,Jhin,Karma,1
Elise,Ambessa,Katarina,Kaisa,Lulu,Rumble,JarvanIV,Ahri,Lucian,Zoe,0
Rumble,JarvanIV,Corki,Zyra,Elise,Anivia,XinZhao,Irelia,Mel,Soraka,1
Jayce,Elise,Ornn,Varus,Nami,Fiora,Viego,Mel,Pantheon,Neeko,0
Ambessa,JarvanIV,Zoe,Zeri,Elise,Zaahen,Karthus,Smolder,Tristana,Pantheon,1
Elise,Ekko,Quinn,MissFortune,Soraka,Riven,JarvanIV,Cassiopeia,Jinx,Rell,1
Yasuo,RekSai,TwistedFate,Sivir,Leblanc,Jax,Nunu,Jayce,Twitch,Elise,0
Sion,Diana,Jayce,Sivir,Bard,Chogath,Viego,Syndra,Caitlyn,Nautilus,1
Quinn,Diana,Renekton,Varus,Leona,Yasuo,Ambessa,Aurora,Ezreal,FiddleSticks,0
Aatrox,Poppy,Sylas,Yunara,Thresh,Fiora,Diana,Yasuo,Hwei,Bard,0
Ambessa,Jayce,Katarina,Yunara,Milio,MonkeyKing,Diana,LeeSin,Ezreal,Sona,0
Garen,Diana,Yasuo,Kaisa,Neeko,Camille,Shaco,Corki,Twitch,Bard,0
Aatrox,Ambessa,Zilean,Kaisa,Elise,Sion,JarvanIV,Ekko,Tristana,Lulu,0
Rumble,Zaahen,Ahri,Tristana,Elise,Sion,MonkeyKing,Syndra,Lucian,Rakan,0
Zed,Diana,Yasuo,Ziggs,Poppy,KSante,Sylas,Ahri,Jhin,Nautilus,1
Gangplank,XinZhao,Zed,Mel,Pantheon,Zaahen,Nunu,Jayce,Yunara,Elise,1
Riven,JarvanIV,Hwei,Lucian,Nami,Ambessa,DrMundo,Syndra,Sivir,Karma,1
Aatrox,Diana,Vladimir,Ashe,Alistar,Camille,Zac,DrMundo,Swain,Pyke,1
Vladimir,JarvanIV,Ahri,Lucian,Sona,Akali,Jayce,Vayne,Zilean,Karma,1
KSante,JarvanIV,Kassadin,Tristana,Rakan,Gwen,Aatrox,Yone,Kaisa,Thresh,1
Vayne,Elise,Veigar,Caitlyn,Karma,Renekton,Nidalee,Leblanc,Lucian,Bard,0
Ambessa,Poppy,Ahri,Mel,Bard,Vayne,JarvanIV,Orianna,Yunara,Zilean,0
KSante,Jayce,Mel,Jhin,Elise,Vayne,Aatrox,Ahri,Yunara,Karma,0
Swain,Belveth,Ahri,Zeri,Rakan,Yasuo,Elise,Syndra,Olaf,Pyke,0
TwistedFate,Sylas,Yone,Jhin,Bard,Irelia,JarvanIV,Syndra,Twitch,Karma,1
DrMundo,Zaahen,Ekko,Kaisa,Elise,Corki,Aatrox,Akali,Twitch,Alistar,1
Vayne,JarvanIV,Vladimir,Xayah,Rell,Malphite,Zaahen,Ahri,AurelionSol,Alistar,0
Zaahen,Shyvana,Quinn,Caitlyn,Pyke,Sion,JarvanIV,Ahri,Jhin,Karma,0
Malphite,Khazix,Syndra,Kalista,Nautilus,Rumble,Gwen,Veigar,Yunara,Thresh,0
Yorick,JarvanIV,Vladimir,Corki,Nautilus,Viktor,Jayce,Yone,MissFortune,Thresh,1
Rumble,Talon,Lissandra,Yunara,Rakan,Malphite,Diana,Katarina,MissFortune,Nautilus,0
Jayce,Malphite,Aurora,Kaisa,Rell,Zaahen,MonkeyKing,Ryze,Jhin,Elise,0
Quinn,XinZhao,Ahri,Caitlyn,Bard,Malphite,LeeSin,Orianna,Sivir,Elise,1
Vayne,JarvanIV,Leblanc,Sivir,Braum,Irelia,Ivern,Ahri,Corki,Rell,1
Zaahen,Ambessa,Ahri,Vayne,Rell,Jayce,Elise,Yasuo,Yunara,FiddleSticks,0
Varus,JarvanIV,Azir,Zilean,Nautilus,Irelia,Jayce,Leblanc,Ezreal,Janna,1
TwistedFate,Elise,Zed,Caitlyn,Poppy,Yasuo,Ambessa,Sylas,Jhin,Janna,1
Vayne,Kayn,Leblanc,Zilean,Sona,Sylas,Karthus,Jayce,Jhin,Elise,0
Ambessa,Belveth,Velkoz,Kaisa,Elise,Akshan,Nidalee,Yone,Jhin,Nautilus,1
Ambessa,Sylas,Tristana,Smolder,Nautilus,Zaahen,JarvanIV,Yone,Zilean,Elise,0
Diana,JarvanIV,Orianna,Ezreal,Blitzcrank,Malphite,Aatrox,Cassiopeia,Kaisa,Soraka,1
Zaahen,JarvanIV,Akali,Jhin,Leona,Kayn,Elise,Yone,MissFortune,Rakan,1
Rumble,JarvanIV,LeeSin,Smolder,Neeko,DrMundo,Ambessa,Syndra,Lucian,Braum,1
LeeSin,Chogath,Syndra,Yunara,Lulu,Renekton,Diana,Taliyah,Sivir,Pyke,0
Yasuo,Zed,Ahri,Caitlyn,Leona,Riven,JarvanIV,Lissandra,Ziggs,Elise,0
Pantheon,Jayce,Ahri,MissFortune,Leona,Aurora,Viego,Tristana,Ezreal,Elise,0
Urgot,XinZhao,Malzahar,Ezreal,Karma,Aurora,Zed,Orianna,Kalista,Nautilus,0
Darius,Khazix,Ahri,Kaisa,Elise,Rumble,Aatrox,Syndra,Yunara,Nautilus,0
Aatrox,Lillia,Yone,Jhin,Poppy,Fiora,JarvanIV,Taliyah,Ziggs,Rell,1
Zaahen,Aatrox,Mel,Varus,Shaco,Jayce,Diana,Neeko,Sivir,Senna,0
Gwen,Jayce,Syndra,Tristana,Elise,Aatrox,LeeSin,Sylas,Kaisa,Leona,1
KSante,Belveth,Orianna,Jinx,Nami,Darius,Khazix,Kassadin,Corki,Elise,0
Elise,RekSai,Cassiopeia,Yunara,Rell,Zaahen,JarvanIV,Hwei,Kaisa,Nautilus,1
Akali,JarvanIV,Ryze,Lucian,Sona,Singed,RekSai,Aurora,Ashe,Nautilus,1
Zaahen,Qiyana,Ryze,MissFortune,Rakan,KSante,Diana,Akali,Varus,Janna,0
KSante,Jayce,Aurora,Caitlyn,Elise,Rumble,Aatrox,Ryze,MissFortune,Neeko,1
Riven,DrMundo,Galio,Viktor,Pyke,Janna,Ekko,Irelia,Kaisa,Elise,0
Zaahen,Nidalee,Corki,Ashe,Seraphine,Riven,Elise,Sylas,Yunara,Bard,1
Rumble,Belveth,Malphite,Yunara,Janna,Sion,Elise,Zed,Aphelios,Sona,0
Zaahen,JarvanIV,Malphite,Kaisa,Janna,Chogath,MonkeyKing,Quinn,Lucian,Blitzcrank,1
KSante,JarvanIV,Taliyah,Yunara,FiddleSticks,Rumble,Ambessa,Ahri,Zeri,Rakan,0
Akali,Aatrox,Lux,Yunara,Poppy,Jayce,Diana,Bard,Aphelios,Janna,1
DrMundo,Khazix,Ryze,Aphelios,Karma,Sion,Diana,Taliyah,Yunara,Nautilus,0
Vayne,Qiyana,Yasuo,Xayah,Elise,Urgot,Jayce,Ryze,Malphite,Leona,0
KSante,LeeSin,Cassiopeia,MissFortune,Leona,Irelia,Jayce,Ahri,Xayah,Elise,0
Urgot,JarvanIV,Ziggs,MissFortune,Leona,Ambessa,RekSai,Akali,Kaisa,Pyke,1
Jax,RekSai,Syndra,Kaisa,Bard,Chogath,JarvanIV,Aurora,MissFortune,Alistar,0
Ryze,XinZhao,Jayce,Yunara,Karma,KSante,Diana,Yasuo,Mel,FiddleSticks,1
Zaahen,Ivern,Orianna,Ezreal,Elise,Gnar,Zed,Syndra,Yunara,Neeko,0
LeeSin,Elise,Corki,Kaisa,Alistar,Aatrox,Ambessa,Katarina,Yunara,Leona,0
Urgot,Ambessa,Ahri,Ashe,Braum,Rumble,JarvanIV,Lucian,Varus,FiddleSticks,1
Jayce,Chogath,Vladimir,Smolder,Rumble,Yorick,JarvanIV,Azir,Yunara,Rell,1
Quinn,Rengar,Katarina,Zeri,Braum,Zaahen,Diana,Kassadin,Lucian,Neeko,1
Fiora,Viego,Katarina,Ezreal,Galio,Renekton,Elise,Aurora,Xayah,Poppy,0
Sion,Rengar,Mel,MissFortune,Leblanc,Malphite,Naafiri,Katarina,Ezreal,Velkoz,0
Hwei,Rengar,Orianna,Smolder,Bard,Malphite,Talon,Viktor,Tristana,Senna,1
Urgot,Kayn,Katarina,Jhin,Lux,RekSai,Diana,Akshan,Yunara,Sona,0
Varus,Poppy,Viktor,Kaisa,Elise,Irelia,Sylas,Akshan,MissFortune,Nami,1
Darius,Zac,Xerath,Jhin,Pyke,DrMundo,Volibear,Katarina,Jinx,Zoe,1
Urgot,Shen,Velkoz,Vayne,Thresh,TahmKench,Viego,Katarina,Kaisa,Braum,0
Vladimir,Evelynn,Malzahar,Draven,Lux,Nasus,Taliyah,Katarina,Varus,Morgana,0
Akshan,Riven,Ryze,Smolder,Milio,Irelia,DrMundo,Katarina,Kaisa,Soraka,0
Volibear,Graves,Katarina,Ashe,Thresh,Gangplank,Jayce,Ryze,MissFortune,Xerath,0
Garen,Aatrox,Katarina,Kalista,Amumu,Zaahen,Malphite,Veigar,Caitlyn,Poppy,1
Ambessa,Viego,Katarina,Ezreal,Janna,MasterYi,Kindred,Zoe,Yunara,Milio,1
Malphite,MonkeyKing,Orianna,Jinx,Milio,Sion,DrMundo,Katarina,Yunara,Thresh,1
Gwen,Viego,Katarina,Ashe,Braum,KSante,Talon,Mel,Lucian,Rell,0
Malphite,MasterYi,Jayce,Ashe,Nautilus,Gwen,Fizz,Orianna,Jhin,Senna,1
FiddleSticks,MonkeyKing,Orianna,Jhin,Thresh,Yone,Ivern,Katarina,MissFortune,Leona,1
Gangplank,Lillia,Viktor,Sivir,Zilean,Gragas,MasterYi,Orianna,Samira,Pantheon,1
Malphite,Warwick,Riven,Draven,Renata,Zed,Trundle,Aurora,Ashe,Lulu,1
Fiora,Rengar,Orianna,MissFortune,Zilean,Zaahen,Graves,Hwei,Samira,Leona,0
Sion,Nidalee,Katarina,Tristana,Jhin,Mordekaiser,Shaco,Velkoz,Kaisa,Leona,0
Fiora,Darius,Katarina,Nilah,Karma,Irelia,Diana,Anivia,Lucian,Milio,1
Irelia,Rengar,Katarina,Aphelios,Senna,Fiora,Viego,Zoe,Brand,Maokai,1
Shen,Viego,Katarina,Ashe,Braum,Ryze,Skarner,Qiyana,Ezreal,Jax,1
Irelia,Zed,Katarina,Smolder,Nami,Renekton,JarvanIV,Orianna,Caitlyn,Mel,0
Katarina,Volibear,Xerath,Jinx,Janna,Nasus,LeeSin,Akali,Caitlyn,Annie,1
Aatrox,Jax,Katarina,Ashe,Xerath,Kayn,JarvanIV,Qiyana,Samira,Velkoz,1
Aatrox,Graves,Orianna,Zeri,Rakan,Tryndamere,Qiyana,Azir,Yunara,Thresh,1
Rumble,Shaco,Akshan,Jhin,Milio,Ambessa,Graves,Aurora,Caitlyn,Nami,1
Kled,Amumu,Katarina,MissFortune,Velkoz,Poppy,Naafiri,Cassiopeia,Caitlyn,Morgana,0
Malphite,Skarner,Katarina,MissFortune,Rell,Shen,Khazix,Ekko,Twitch,Poppy,0
TahmKench,Skarner,Katarina,Caitlyn,Pyke,Aatrox,Khazix,Sylas,Sivir,Lulu,1
Yorick,XinZhao,Katarina,Jhin,Lux,Malphite,Ekko,Yone,Ashe,Seraphine,1
Singed,Viego,Akali,Sivir,Zyra,Yorick,Sylas,Katarina,Caitlyn,Morgana,0
Tryndamere,FiddleSticks,Katarina,Jhin,Xerath,Jax,LeeSin,Kassadin,MissFortune,Annie,1
Jax,Sylas,Katarina,Kaisa,Nautilus,Renekton,Volibear,Ziggs,Twitch,Lulu,0
Chogath,Shaco,Diana,Smolder,Zilean,Jax,Elise,Katarina,KogMaw,Lulu,1
KSante,LeeSin,Malzahar,Twitch,Nami,Darius,Khazix,Katarina,Yunara,Velkoz,1
Sett,Talon,Ryze,KogMaw,Milio,Fiora,Viego,Katarina,Kaisa,Karma,0
Sett,RekSai,Katarina,Ezreal,Rakan,Garen,Volibear,Akali,Senna,Vex,1
Quinn,Ekko,Katarina,MissFortune,Milio,Chogath,Kayn,Yasuo,Yunara,Morgana,1
Sett,Rammus,Katarina,Jinx,Zyra,Renekton,Kayn,Sylas,Smolder,Renata,1
Aurora,Brand,Zed,Varus,Senna,RekSai,Talon,Vladimir,Jhin,TahmKench,0
Ambessa,Sylas,Zed,Yunara,Lulu,Darius,Elise,Katarina,Kaisa,Thresh,0
KSante,Sett,Seraphine,Xerath,Diana,Renekton,Rengar,Katarina,Ziggs,Bard,0
Garen,Ivern,Katarina,Jhin,Teemo,Volibear,JarvanIV,Ahri,Lucian,Thresh,0
Sett,Lillia,Yasuo,Yunara,Blitzcrank,Urgot,Belveth,Katarina,Kaisa,Sona,0
Mordekaiser,Ekko,Syndra,Ezreal,Nami,Urgot,MonkeyKing,Katarina,Kaisa,Blitzcrank,0
DrMundo,Rengar,Katarina,KogMaw,Lux,Akali,Volibear,Mel,Samira,Milio,1
Ivern,Nocturne,Lux,Yunara,Thresh,Fiora,Sylas,Katarina,Samira,Alistar,0
Pantheon,Vi,Katarina,Twitch,Lulu,Jax,MasterYi,Sylas,Xayah,Rakan,1
Darius,Udyr,Qiyana,Aphelios,Leona,Zac,Vayne,Katarina,Yunara,Pyke,0
Irelia,Sejuani,Katarina,Yasuo,Pantheon,Trundle,Viego,Akali,Tristana,Milio,0
Tryndamere,Zac,Katarina,Caitlyn,Karma,Ryze,Kayn,Orianna,Jinx,Thresh,1
Renekton,Kayn,Ekko,Lucian,Nami,Gnar,Rengar,Katarina,Varus,Milio,0
Singed,Ivern,Sion,Caitlyn,Nautilus,TahmKench,Kayn,Aurora,MissFortune,Jax,0
Malphite,Sejuani,Katarina,Ashe,Milio,Gangplank,Trundle,Sylas,Lucian,Yuumi,1
Irelia,XinZhao,Katarina,Sivir,Rell,Aatrox,Volibear,Lissandra,Yunara,Bard,1
Shen,Ekko,Galio,Aphelios,Blitzcrank,Volibear,LeeSin,Katarina,MissFortune,Rell,0
Ambessa,Graves,Katarina,Vayne,TahmKench,Jayce,JarvanIV,Galio,Caitlyn,Lux,1
Illaoi,Nunu,Katarina,Varus,Zyra,Gangplank,MasterYi,Yasuo,Ziggs,Veigar,0
Jax,Ekko,Katarina,Jhin,Rell,LeeSin,Viego,Lux,Ashe,Pyke,1
Gangplank,Nocturne,Katarina,Ezreal,Kassadin,Yasuo,Talon,Ahri,MissFortune,Twitch,1
Malphite,MasterYi,Veigar,MissFortune,Leona,Darius,LeeSin,Ryze,Smolder,Poppy,1
Fiora,Viego,Katarina,Vayne,Nami,Yone,Udyr,Malzahar,Twitch,Soraka,1
Urgot,Zed,Ahri,Sivir,Zyra,Kayn,Sejuani,Teemo,Ezreal,Soraka,0
DrMundo,Khazix,Qiyana,Kaisa,Neeko,Sion,Nidalee,Katarina,Yunara,Lulu,1
Heimerdinger,Diana,Xerath,Jhin,Pyke,Riven,XinZhao,Ahri,Jinx,Milio,1
Garen,Viego,Ahri,Senna,Velkoz,Shen,Ivern,Diana,Jhin,Rakan,1
Ambessa,MonkeyKing,Kassadin,Jhin,Neeko,Camille,Ekko,KogMaw,Aphelios,Janna,0
Garen,JarvanIV,Velkoz,Corki,Braum,Kayle,Pantheon,Xerath,Ezreal,Soraka,1
DrMundo,Viego,Ahri,Yunara,Amumu,Sett,Shyvana,Katarina,Kaisa,Rakan,0
JarvanIV,Diana,Vladimir,Ashe,Thresh,Mordekaiser,Vi,Ahri,Zeri,Janna,1
Aatrox,Ekko,Ahri,Xayah,Zyra,Akali,Diana,Mel,Zeri,Lux,0
Karma,Vayne,Ahri,Ashe,Brand,Briar,Khazix,Leblanc,Caitlyn,Alistar,0
Irelia,Sylas,Ahri,Jhin,Chogath,Garen,Brand,Talon,Jinx,Lulu,1
Cassiopeia,Vi,Ahri,Jhin,Zilean,Pantheon,Warwick,Kayle,Caitlyn,Brand,0
Zed,Kayn,Ahri,Aphelios,Milio,Naafiri,Teemo,Qiyana,KogMaw,Zilean,1
Sion,Warwick,Ahri,Varus,Pyke,Shen,LeeSin,Swain,Aphelios,Braum,0
Sion,DrMundo,Ahri,Smolder,Nami,Irelia,RekSai,Veigar,Yunara,Thresh,1
Malphite,Volibear,Ahri,Jhin,Lux,Teemo,Kayn,Leblanc,Twitch,Yuumi,0
Malzahar,Qiyana,Akshan,Jhin,Mel,Mordekaiser,RekSai,Katarina,Samira,Lux,1
Pantheon,Vi,Katarina,Caitlyn,Lux,Darius,Jax,Ahri,Jhin,Xerath,0
Tryndamere,FiddleSticks,Leblanc,Nilah,Pantheon,Malphite,Qiyana,Azir,Kaisa,Braum,1
Sion,Warwick,Syndra,Kaisa,Milio,Ornn,Kindred,Aurora,Aphelios,Morgana,0
Pantheon,Zyra,Syndra,MissFortune,Lux,Urgot,Kayn,TwistedFate,Samira,Nami,1
Jax,Warwick,Aurora,Vayne,Zilean,Malphite,Briar,Kennen,KogMaw,Nami,1
Yone,Zed,Akali,Zeri,Zilean,Mordekaiser,Rengar,Aurora,Smolder,Senna,0
Trundle,Ekko,AurelionSol,Kalista,Zilean,Chogath,Evelynn,Aurora,Jhin,Pyke,0
DrMundo,JarvanIV,Azir,Vayne,Nami,Urgot,Karthus,Fizz,Samira,XinZhao,1
Gwen,MonkeyKing,Azir,Seraphine,Shen,DrMundo,Lillia,Zed,Vayne,Pyke,0
Malphite,XinZhao,Azir,Zeri,Lulu,Irelia,Zed,Veigar,Kaisa,Nautilus,0
Darius,Briar,Aurora,Nilah,TahmKench,Aatrox,Jax,Qiyana,Smolder,Thresh,1
Morgana,Volibear,Azir,MissFortune,Thresh,Kennen,Diana,Hwei,Yunara,Nautilus,1
Shen,MonkeyKing,Graves,Kaisa,Elise,Camille,Khazix,Azir,Yunara,Janna,1
Chogath,Sylas,Aurora,Jinx,Braum,Yorick,Kindred,Azir,Vayne,Lulu,0
Gangplank,Trundle,Aurora,Aphelios,Milio,Olaf,Amumu,Ahri,Kaisa,Karma,1
Sejuani,Kindred,Azir,Ashe,Morgana,Ornn,Poppy,Taliyah,Sivir,Rakan,1
Shen,Kayn,Fizz,Nilah,Nautilus,Aurora,MonkeyKing,Azir,Twitch,Yuumi,0
Riven,Khazix,Taliyah,Lucian,Bard,Aatrox,Qiyana,Hwei,MissFortune,Rell,1
Riven,Jayce,Yasuo,Kaisa,Zyra,Cassiopeia,LeeSin,Ekko,Smolder,Lux,1
Fiora,Vi,Xerath,Vayne,Lulu,Aatrox,Elise,Katarina,Twitch,Poppy,0
Riven,Sylas,Viktor,Draven,Maokai,Malphite,RekSai,Syndra,Caitlyn,Nami,0
Jax,Lillia,Ahri,Tristana,Bard,Aatrox,JarvanIV,Taliyah,MissFortune,Pyke,0
Riven,Lillia,Lux,Kaisa,Nami,Shen,Nocturne,Annie,Tristana,Milio,1
Trundle,Zed,Vex,Yunara,Rakan,Riven,Lillia,Yone,Kaisa,Pyke,1
Fiora,Lillia,Katarina,Ashe,Thresh,KSante,Viego,Malzahar,Caitlyn,Milio,1
RekSai,Lillia,Katarina,Swain,Blitzcrank,Mordekaiser,JarvanIV,Orianna,Kaisa,Rell,1
Olaf,Lillia,Katarina,MissFortune,Nami,DrMundo,JarvanIV,Karthus,Tristana,Amumu,0
Fiora,Belveth,Akali,Jhin,KogMaw,Malphite,Lillia,Katarina,Swain,Pantheon,0
Renekton,Viego,Orianna,Lucian,Leona,Aatrox,Ekko,Katarina,Kaisa,Pyke,1
Ambessa,Ekko,Malzahar,Vayne,Karma,Riven,Khazix,Hwei,Tristana,Yuumi,1
Mordekaiser,Aatrox,Katarina,Caitlyn,Lulu,Riven,Talon,Hwei,Kaisa,Nami,0
KSante,Warwick,Katarina,Ezreal,Pyke,Vladimir,Graves,Vex,Twitch,Lulu,1
DrMundo,Talon,Katarina,Hwei,Blitzcrank,KSante,Hecarim,Syndra,Xayah,Rakan,0
Irelia,Diana,Yasuo,Vayne,Alistar,Malphite,MasterYi,TwistedFate,Sivir,Sona,0
Gwen,Qiyana,Viktor,Jayce,Lux,Ornn,Kayn,Katarina,Jhin,Elise,0
Pantheon,Ambessa,Katarina,Smolder,Braum,Zaahen,Khazix,Diana,MissFortune,Xerath,0
Karma,Hecarim,TwistedFate,Lucian,Nami,Yone,Ekko,Hwei,Caitlyn,Milio,0
KSante,Ekko,Katarina,Tristana,Janna,Riven,Kayn,Leblanc,Heimerdinger,Bard,1
Riven,Malphite,Talon,Hwei,Nami,Garen,Rengar,Ahri,MissFortune,Alistar,0
Riven,Sylas,Katarina,Draven,Milio,Yasuo,RekSai,Azir,Jinx,Lulu,0
Riven,Shyvana,Katarina,Xayah,Blitzcrank,Malphite,FiddleSticks,Orianna,Sivir,Milio,0
Riven,MasterYi,Morgana,Tristana,Pyke,KSante,FiddleSticks,Vladimir,Twitch,Poppy,0
Gragas,Rumble,Yasuo,Vayne,Elise,Kaisa,Sylas,Akali,Katarina,Pantheon,1
Riven,JarvanIV,Twitch,MissFortune,Ashe,Sejuani,Zed,Ambessa,Jhin,Swain,0
DrMundo,Diana,Aurora,Kaisa,Leona,Sejuani,JarvanIV,Katarina,Jhin,Elise,0
Renekton,Nidalee,Kassadin,MissFortune,Senna,Jayce,Hecarim,Katarina,Tristana,Pyke,1
Yasuo,Kayn,Viktor,Corki,Nautilus,Varus,Elise,Vladimir,Yunara,Leona,1
Aurora,Malphite,Tryndamere,Jhin,Nautilus,Yasuo,Viego,Velkoz,Kaisa,Pyke,1
Yasuo,Qiyana,Leblanc,Samira,Seraphine,Sion,Talon,Annie,MissFortune,Amumu,0
Yasuo,JarvanIV,Yone,Velkoz,Thresh,Riven,Zac,Ezreal,MissFortune,Rell,0
Yone,Zed,Zoe,Aphelios,Rell,Olaf,JarvanIV,Ryze,Yasuo,Zilean,1
Riven,Talon,Malzahar,Tristana,Lulu,Renekton,Amumu,Ahri,Twitch,Trundle,0
Sett,MasterYi,Illaoi,Jhin,Senna,Gragas,Rengar,Katarina,Jinx,Lulu,0
Sion,Rengar,Katarina,Jinx,Bard,Volibear,Sylas,Talon,Ezreal,Nami,0
Mordekaiser,Graves,Ahri,Jinx,Leona,Zac,Malphite,Katarina,Kaisa,Leblanc,1
Zac,Ekko,Zed,MissFortune,Blitzcrank,Sion,Lillia,Yasuo,Jhin,Senna,0
Ornn,Talon,Malzahar,Kaisa,Milio,Riven,Jayce,Leblanc,Jinx,TahmKench,1
Darius,FiddleSticks,Veigar,Jhin,Sona,Olaf,Diana,Leblanc,Kaisa,Nautilus,1
Riven,Viego,Hwei,Zeri,FiddleSticks,Jax,JarvanIV,Tristana,MissFortune,Pantheon,1
Mordekaiser,Viego,Katarina,Lucian,TwistedFate,Zilean,RekSai,Sylas,Jinx,Milio,0
Yasuo,Talon,Xerath,Ezreal,Nami,Sett,Khazix,Mel,Lucian,Leona,0
Rengar,Rammus,Xerath,Kaisa,Milio,Riven,Udyr,Yasuo,Ziggs,Nami,0
MasterYi,Nidalee,Yasuo,Ezreal,Nami,Riven,Nocturne,Hwei,Tristana,Alistar,1
Riven,Ekko,Nidalee,Lucian,Elise,DrMundo,Briar,Xerath,Jhin,Leona,1
Ryze,JarvanIV,Irelia,KogMaw,Karma,Riven,Viego,Qiyana,Caitlyn,Lux,1
Sett,Viego,Katarina,Kaisa,Karma,Ambessa,Talon,Vladimir,Mel,Yuumi,0
Ornn,XinZhao,Katarina,Caitlyn,Alistar,Garen,Diana,Yasuo,Sivir,Maokai,0
Riven,Aatrox,Kennen,Yunara,Sona,Garen,Ekko,Zac,Ezreal,Nami,0
Kennen,Nunu,Yasuo,Ashe,Bard,Jax,Sylas,Katarina,Draven,Janna,0
Darius,JarvanIV,Akali,Sivir,FiddleSticks,Riven,Qiyana,Hwei,Vayne,Nami,0
Aatrox,MonkeyKing,Swain,Yunara,Nami,Darius,Sylas,Katarina,Aphelios,Thresh,0
Aatrox,Sylas,Katarina,Ashe,Rell,KSante,MonkeyKing,Kassadin,Jinx,Leona,0
Qiyana,Chogath,Viktor,Ashe,Seraphine,Riven,Briar,Vladimir,Kaisa,Maokai,0
Ornn,Viego,Katarina,Jinx,Milio,Kayle,JarvanIV,Zoe,Yunara,Pyke,0
Darius,DrMundo,Katarina,Jhin,Sylas,Warwick,Aatrox,Gwen,Tristana,Taric,0
Zaahen,Viego,Mel,Smolder,Milio,Yone,Nunu,Hwei,Lucian,Nami,1
Olaf,Udyr,Syndra,Sivir,Bard,Zaahen,MonkeyKing,Katarina,Aphelios,Blitzcrank,1
Fiora,Jayce,Katarina,Smolder,Bard,Darius,Diana,AurelionSol,Draven,Renata,0
Riven,Briar,TwistedFate,Aphelios,Maokai,Heimerdinger,Ekko,Lucian,Jhin,Pyke,0
Irelia,Talon,Galio,Sivir,Janna,Riven,Diana,Neeko,MissFortune,Sylas,0
Cassiopeia,Jax,Vex,Kaisa,Rell,Syndra,Briar,Yasuo,MissFortune,Janna,1
Riven,Karthus,Irelia,Jhin,Nautilus,Malphite,Evelynn,Cassiopeia,Kaisa,Braum,0
Illaoi,Diana,Yasuo,Swain,Sion,Trundle,JarvanIV,Vex,Hwei,Pyke,0
Udyr,Zac,Yasuo,Draven,Bard,Rumble,Vi,Lissandra,Lucian,Karma,1
Jax,Zed,Syndra,Kaisa,Bard,Riven,Pantheon,Galio,Caitlyn,Karma,1
Sion,XinZhao,Quinn,Yunara,Galio,Aatrox,Nidalee,Katarina,Vayne,Elise,1
Akali,JarvanIV,Viktor,Nilah,Milio,Cassiopeia,Vi,Katarina,Ashe,Hwei,1
Ornn,Khazix,Katarina,Nilah,Lulu,Ambessa,Nocturne,Ziggs,Vayne,Janna,1
Irelia,Malphite,Katarina,Tristana,Lulu,Yone,Trundle,Vladimir,Corki,Nami,1
Zaahen,Naafiri,Katarina,Lucian,Milio,Yasuo,JarvanIV,Ekko,Jhin,Zac,0
Shen,Udyr,Katarina,Jinx,Karma,Zaahen,Evelynn,Nidalee,Ezreal,Thresh,1
Yasuo,Khazix,Kassadin,Sivir,Lulu,Jayce,Sylas,Irelia,Jhin,Bard,1
Riven,Karthus,Yone,Draven,Neeko,Heimerdinger,Naafiri,Akali,Xayah,Blitzcrank,0
Yone,LeeSin,Leblanc,Swain,Leona,Renekton,Viego,Orianna,MissFortune,Karma,0
Swain,Karthus,Riven,Smolder,Thresh,Ambessa,Qiyana,Diana,Caitlyn,Elise,0
Fiora,Vayne,Azir,Kaisa,Janna,Yasuo,Zac,Sylas,Ashe,Velkoz,0
Ambessa,Viego,Hwei,Jhin,Rakan,DrMundo,JarvanIV,Katarina,Mel,Nami,0
Ornn,Ambessa,Katarina,Ezreal,Karma,Zaahen,Viego,Mel,Yunara,Nautilus,1
Naafiri,XinZhao,Orianna,Aphelios,Soraka,Yone,Ekko,Azir,Kalista,Thresh,1
Olaf,Briar,TwistedFate,Yunara,Nami,Yone,Jax,Kennen,Kaisa,Karma,0
KSante,Ekko,Kayle,Caitlyn,Swain,Aatrox,Gwen,Syndra,Ezreal,Nami,1
Vladimir,Ambessa,Akali,Caitlyn,Thresh,Riven,Rengar,Jayce,Ziggs,Janna,1
DrMundo,Nidalee,Malphite,Aphelios,Sona,Rumble,LeeSin,Katarina,Zeri,Yuumi,1
KSante,Qiyana,Katarina,Draven,Thresh,Zaahen,Nidalee,Tristana,MissFortune,Poppy,0
Riven,RekSai,Fizz,Aphelios,Lulu,Jayce,Taliyah,Diana,Jhin,Karma,1
Vayne,Khazix,Cassiopeia,Kalista,Pantheon,Ambessa,Chogath,Swain,Mel,Senna,1
Malphite,Nidalee,Hwei,Yunara,Senna,Katarina,Khazix,Ryze,Zeri,Braum,1
KSante,Nidalee,Kassadin,Kalista,Pyke,Riven,Khazix,Zoe,Kaisa,Pantheon,0
